Designator,Mid X,Mid Y,Layer,Rotation
C1,121.22,12.34,Top,90
C2,116.85,12.53,Top,90
C21,78.43,29.52,Top,90
C22,75.63,32.8,Top,0
C23,73.65,17.35,Top,90
C24,77.64,18.97,Top,180
C25,83.78,16.38,Top,90
C26,85.68,16.38,Top,90
C27,80.8,12.78,Top,270
C28,75.21,18.72,Top,180
C3,78.69,33.02,Top,270
C30,78.6,58.37,Top,270
C31,72.97,61.04,Top,90
C32,67.84,61.04,Top,270
C33,62.51,60.78,Top,270
C34,62.89,54.94,Top,270
C35,116.99,80.77,Top,90
C36,118.26,80.65,Top,90
C37,113.37,76.26,Top,90
C38,111.09,76.26,Top,90
C4,68.58,33.53,Top,270
C5,110.24,59.18,Top,180
C6,78.63,60.66,Top,90
C7,80.15,81.4,Top,90
C8,118.62,59.18,Top,180
CR10,62.07,19.73,Top,0
CR11,68.95,19.75,Top,180
CR2,119.33,72.02,Top,90
CR3,119.34,64.68,Top,90
CR4,126.71,53.12,Top,90
CR5,120.66,42.86,Top,90
CR6,120.52,36.3,Top,90
CR7,69.48,52.87,Top,90
CR8,64.67,46.84,Top,90
CR9,62.18,35.48,Top,180
D1,124.17,24.57,Top,180
D2,114.64,23.98,Top,180
F1,107.12,18.45,Top,0
L7,71.69,29.21,Top,270
L8,83.19,21.06,Top,90
L9,123.66,79.03,Top,270
LED1,111.06,68.57,Top,180
LED10,70.43,24.07,Top,90
LED15,73.32,8.56,Top,180
LED2,111.11,61.54,Top,180
LED3,122.61,55.38,Top,0
LED4,112.26,40.16,Top,180
LED5,112.18,33.5,Top,180
LED6,76.32,54.94,Top,270
LED7,72.42,49,Top,180
LED8,60.95,41.05,Top,180
LED9,59.47,28.9,Top,90
MOSFET1,115.66,71.56,Top,270
MOSFET10,63.07,23.56,Top,270
MOSFET2,116.93,43.88,Top,270
MOSFET3,115.68,65.21,Top,270
MOSFET4,126.55,58.61,Top,270
MOSFET5,116.93,37.53,Top,270
MOSFET6,73.05,51.77,Top,90
MOSFET7,68.16,47.76,Top,90
MOSFET8,60.99,38.75,Top,180
MOSFET9,67.23,23.58,Top,180
PS1,68.7,72.62,Top,270
R10,110.58,63.69,Top,180
R13,122.52,59.66,Top,180
R14,122.52,57.34,Top,180
R15,114.39,68.66,Top,0
R16,114.39,62.32,Top,0
R17,122.88,53.43,Top,0
R20,111.85,44.39,Top,180
R21,111.85,42.1,Top,180
R22,115.66,40.73,Top,0
R25,111.85,38.18,Top,180
R26,116.17,33.62,Top,0
R27,111.85,35.93,Top,180
R28,78.49,55.61,Top,90
R29,73.2,58.27,Top,90
R30,67.77,58.33,Top,90
R31,62.51,58.12,Top,90
R32,62.89,52.15,Top,90
R33,75.97,51.51,Top,270
R34,78.26,51.51,Top,270
R35,73.34,55.07,Top,180
R36,75.97,47.57,Top,270
R37,78.26,47.53,Top,270
R38,71.98,46.8,Top,180
R39,64.03,40.97,Top,270
R40,66.32,40.97,Top,270
R41,60.99,42.92,Top,180
R42,63.04,26.61,Top,0
R43,63.01,28.9,Top,0
R44,59.42,25.62,Top,270
R45,67.3,26.54,Top,180
R46,67.26,28.83,Top,180
R47,72.82,24.07,Top,90
R5,110.58,72.94,Top,180
R56,125.69,21.02,Top,90
R57,115.95,20.38,Top,90
R58,113.59,20.35,Top,270
R59,123.15,21.02,Top,270
R6,110.66,70.66,Top,180
R60,74.89,9.53,Top,90
R61,73.19,11.11,Top,90
R62,77.39,8.8,Top,180
R63,77.39,11.22,Top,180
R67,111.98,79.44,Top,180
R68,111.98,81.76,Top,180
R9,110.58,65.98,Top,180
SW1,83.14,9.46,Top,0
U13,75.83,29.97,Top,180
U2,114.69,52.87,Top,0
U3,76.99,15.14,Top,0
U4,117.12,77.41,Top,180
U5,73.47,40.03,Top,180
